rank_year,rank,player_name,player_name_norm,fangraphs_player_id,org,position,level,fv,risk,eta
2023,1,Gunnar Henderson,gunnar henderson,26289,BAL,SS,MLB,65,Med,2023
2023,2,Corbin Carroll,corbin carroll,25878,ARI,LF,MLB,65,Med,2023
2023,3,Eury Pérez,eury perez,27768,MIA,SP,MLB,60,High,2023
2023,4,Elly De La Cruz,elly de la cruz,26668,CIN,SS,MLB,60,High,2024
2023,5,Jackson Holliday,jackson holliday,31781,BAL,SS,MLB,60,Med,2024
2023,6,James Wood,james wood,29518,WSN,CF,MLB,60,High,2025
2023,7,Jackson Merrill,jackson merrill,29490,SDP,SS,MLB,60,Low,2025
2023,8,Jackson Chourio,jackson chourio,28806,MIL,CF,MLB,60,High,2024
2023,9,Anthony Volpe,anthony volpe,27647,NYY,2B,MLB,60,Med,2023
2023,10,Francisco Alvarez,francisco alvarez,26121,NYM,C,MLB,60,High,2023
2023,11,Jordan Walker,jordan walker,27475,STL,RF,MLB,60,High,2023
2023,12,Adael Amador,adael amador,27962,COL,2B,AAA,60,Med,2025
2023,13,Druw Jones,druw jones,sa3020676,ARI,CF,AA,60,High,2026
2023,14,Andrew Painter,andrew painter,30091,PHI,SP,MLB,60,High,2023
2023,15,Marcelo Mayer,marcelo mayer,29668,BOS,SS,MLB,55,High,2025
2023,16,Brooks Lee,brooks lee,31595,MIN,SS,MLB,55,Med,2024
2023,17,Endy Rodríguez,endy rodriguez,25332,PIT,C,MLB,55,Low,2023
2023,18,Luis Matos,luis matos,26467,SFG,CF,AAA,55,High,2023
2023,19,Brett Baty,brett baty,26123,NYM,3B,MLB,55,High,2023
2023,20,Josh Jung,josh jung,26299,TEX,3B,MLB,55,Low,2023
2023,21,Jordan Lawlar,jordan lawlar,29976,ARI,SS,MLB,55,Med,2024
2023,22,Diego Cartaya,diego cartaya,sa3008742,LAD,C,,55,High,2024
2023,23,Brandon Pfaadt,brandon pfaadt,27782,ARI,SP,MLB,55,Med,2023
2023,24,Grayson Rodriguez,grayson rodriguez,24492,BAL,SP,MLB,55,Med,2023
2023,25,Ricky Tiedemann,ricky tiedemann,sa3018096,TOR,SP,AAA,55,High,2024
2023,26,Mick Abel,mick abel,27756,PHI,SP,MLB,55,High,2024
2023,27,Kyle Harrison,kyle harrison,27758,SFG,SP,MLB,55,High,2024
2023,28,Curtis Mead,curtis mead,23986,TBR,LF,MLB,55,Med,2023
2023,29,Triston Casas,triston casas,22514,BOS,1B,MLB,55,Low,2023
2023,30,Tyler Soderstrom,tyler soderstrom,27467,OAK,1B,MLB,55,Med,2024
2023,31,Pete Crow-Armstrong,pete crowarmstrong,27769,CHC,CF,MLB,55,Med,2024
2023,32,Bobby Miller,bobby miller,27483,LAD,SP,MLB,55,Med,2023
2023,33,Hunter Brown,hunter brown,25880,HOU,SP,AA,55,High,2023
2023,34,Colson Montgomery,colson montgomery,29712,CHW,3B,MLB,55,High,2024
2023,35,Coby Mayo,coby mayo,28312,BAL,RF,MLB,55,High,2025
2023,36,Taj Bradley,taj bradley,22543,TBR,SP,MLB,55,Low,2023
2023,37,Henry Davis,henry davis,29617,PIT,C,MLB,55,Med,2024
2023,38,Ethan Salas,ethan salas,sa3020881,SDP,C,AA,55,High,2026
2023,39,Junior Caminero,junior caminero,28163,TBR,3B,MLB,55,High,2025
2023,40,Termarr Johnson,termarr johnson,sa3020214,PIT,2B,AAA,55,High,2027
2023,41,Dylan Lesko,dylan lesko,sa3020677,SDP,SP,A,55,High,2026
2023,42,Miguel Bleis,miguel bleis,sa3016834,BOS,CF,AA,55,High,2026
2023,43,Kodai Senga,kodai senga,31838,NYM,SP,A,50,Med,2023
2023,44,Oswald Peraza,oswald peraza,22823,NYY,SS,MLB,50,Low,2023
2023,45,Ezequiel Tovar,ezequiel tovar,24064,COL,SS,MLB,50,Med,2023
2023,46,Matt McLain,matt mclain,29695,CIN,SS,MLB,50,Med,2023
2023,47,Kyle Manzardo,kyle manzardo,29794,TBR,1B,MLB,50,Low,2024
2023,48,Bo Naylor,bo naylor,21865,CLE,C,CPX,50,High,2023
2023,49,Michael Busch,michael busch,26319,LAD,DH,MLB,50,Low,2023
2023,50,Spencer Steer,spencer steer,26323,CIN,3B,MLB,50,Low,2023
