rank_year,rank,player_name,player_name_norm,fangraphs_player_id,org,position,level,fv,risk,eta
2020,1,Wander Franco,wander franco,23667,TBR,SS,MLB,80,,2021
2020,2,Gavin Lux,gavin lux,19955,LAD,2B,AAA,70,,2020
2020,3,MacKenzie Gore,mackenzie gore,22201,SDP,LHP,MLB,70,,2021
2020,4,Jo Adell,jo adell,20220,LAA,LF,MLB,65,,2021
2020,5,Adley Rutschman,adley rutschman,26288,BAL,C,MLB,60,,2021
2020,6,Jesús Luzardo,jesus luzardo,19959,OAK,LHP,MLB,60,,2020
2020,7,Luis Robert Jr.,luis robert jr,20043,CHW,CF,MLB,60,,2020
2020,8,Nate Pearson,nate pearson,20160,TOR,RHP,MLB,60,,2020
2020,9,Julio Rodríguez,julio rodriguez,23697,SEA,RF,MLB,60,,2022
2020,10,Joey Bart,joey bart,21524,SFG,C,MLB,60,,2021
2020,11,Jarred Kelenic,jarred kelenic,22558,SEA,CF,MLB,60,,2021
2020,12,Matt Manning,matt manning,20369,DET,RHP,,60,,2021
2020,13,Royce Lewis,royce lewis,20437,MIN,CF,AAA,60,,2022
2020,14,Dustin May,dustin may,19716,LAD,RHP,MLB,60,,2020
2020,15,Forrest Whitley,forrest whitley,19586,HOU,RHP,,60,,2020
2020,16,Casey Mize,casey mize,20492,DET,RHP,MLB,60,,2020
2020,17,Brendan McKay,brendan mckay,20186,TBR,LHP,,60,,2020
2020,18,Luis Patiño,luis patino,22815,SDP,RHP,,60,,2020
2020,19,Michael Kopech,michael kopech,17282,CHW,RHP,,60,,2020
2020,20,Cristian Pache,cristian pache,19948,ATL,CF,AAA,60,,2021
2020,21,Carter Kieboom,carter kieboom,19958,WSN,SS,AAA,60,,2020
2020,22,CJ Abrams,cj abrams,25768,SDP,CF,MLB,55,,2023
2020,23,Bobby Witt Jr.,bobby witt jr,25764,KCR,SS,MLB,55,,2023
2020,24,Marco Luciano,marco luciano,25616,SFG,SS,AAA,55,,2023
2020,25,A.J. Puk,aj puk,19343,OAK,LHP,CPX,55,,2020
2020,26,Spencer Howard,spencer howard,23252,PHI,RHP,,55,,2020
2020,27,Vidal Bruján,vidal brujan,20536,TBR,2B,MLB,55,,2021
2020,28,Kristian Robinson,kristian robinson,sa3006884,ARI,CF,AAA,55,,2022
2020,29,Grayson Rodriguez,grayson rodriguez,24492,BAL,RHP,MLB,55,,2023
2020,30,Ke'Bryan Hayes,kebryan hayes,18577,PIT,3B,MLB,55,,2020
2020,31,Brendan Rodgers,brendan rodgers,17907,COL,2B,AAA,55,,2020
2020,32,Oneil Cruz,oneil cruz,21711,PIT,SS,MLB,55,,2021
2020,33,Jazz Chisholm Jr.,jazz chisholm jr,20454,MIA,SS,MLB,55,,2021
2020,34,Mitch Keller,mitch keller,17594,PIT,RHP,MLB,55,,2020
2020,35,Ronny Mauricio,ronny mauricio,23698,NYM,SS,MLB,55,,2023
2020,36,Brandon Marsh,brandon marsh,20202,LAA,CF,MLB,55,,2020
2020,37,Andrew Vaughn,andrew vaughn,26197,CHW,1B,MLB,55,,2021
2020,38,Nolan Gorman,nolan gorman,22263,STL,3B,MLB,55,,2021
2020,39,Dylan Carlson,dylan carlson,20126,STL,LF,AAA,55,,2020
2020,40,Luis Campusano,luis campusano,22217,SDP,C,MLB,55,,2022
2020,41,Nick Madrigal,nick madrigal,20521,CHW,2B,AAA,55,,2020
2020,42,Deivi García,deivi garcia,20276,NYY,RHP,,55,,2020
2020,43,Drew Waters,drew waters,20505,ATL,CF,AAA,55,,2021
2020,44,Ian Anderson,ian anderson,19951,ATL,RHP,,55,,2020
2020,45,Logan Gilbert,logan gilbert,22250,SEA,RHP,MLB,55,,2021
2020,46,Nico Hoerner,nico hoerner,21479,CHC,2B,MLB,50,,2020
2020,47,Jeter Downs,jeter downs,22202,BOS,2B,,50,,2022
2020,48,Sixto Sánchez,sixto sanchez,19680,MIA,RHP,AAA,50,,2020
2020,50,Brennen Davis,brennen davis,sa3007876,CHC,CF,AAA,50,,2023
