rank_year,rank,player_name,player_name_norm,fangraphs_player_id,org,position,level,fv,risk,eta
2025,1,Roki Sasaki,roki sasaki,35323,LAD,SP,MLB,65,High,2025
2025,2,Roman Anthony,roman anthony,31812,BOS,LF,MLB,60,Med,2025
2025,3,Dylan Crews,dylan crews,33541,WSN,CF,MLB,60,Med,2025
2025,4,Sebastian Walcott,sebastian walcott,sa3021069,TEX,SS,AA,60,High,2027
2025,5,Samuel Basallo,samuel basallo,28824,BAL,C,MLB,60,High,2026
2025,6,Andrew Painter,andrew painter,30091,PHI,SP,MLB,60,High,2025
2025,7,Kristian Campbell,kristian campbell,33644,BOS,2B,AAA,60,High,2025
2025,8,Dalton Rushing,dalton rushing,31382,LAD,C,MLB,60,Low,2025
2025,9,Jackson Jobe,jackson jobe,30203,DET,SP,MLB,60,Med,2025
2025,10,Jesus Made,jesus made,sa3024108,MIL,SS,AA,60,Med,2028
2025,11,Drake Baldwin,drake baldwin,31539,ATL,C,MLB,55,Med,2025
2025,12,Chase Dollander,chase dollander,33482,COL,SP,MLB,55,Med,2026
2025,13,Bubba Chandler,bubba chandler,29868,PIT,SP,MLB,55,High,2025
2025,14,Marcelo Mayer,marcelo mayer,29668,BOS,SS,MLB,55,High,2025
2025,15,Carson Williams,carson williams,30038,TBR,SS,MLB,55,High,2026
2025,16,Nick Kurtz,nick kurtz,35110,ATH,1B,MLB,55,Med,2025
2025,17,Bryce Eldridge,bryce eldridge,33390,SFG,1B,MLB,55,High,2026
2025,18,Jac Caglianone,jac caglianone,35041,KCR,RF,MLB,55,High,2026
2025,19,Chase Burns,chase burns,35333,CIN,SP,MLB,55,High,2025
2025,20,Jacob Misiorowski,jacob misiorowski,31623,MIL,SP,MLB,55,High,2026
2025,21,Jasson Dominguez,jasson dominguez,28080,NYY,LF,MLB,55,Med,2025
2025,22,Matt Shaw,matt shaw,33322,CHC,3B,MLB,55,High,2025
2025,23,Aidan Miller,aidan miller,sa3022609,PHI,SS,AAA,55,High,2026
2025,24,Walker Jenkins,walker jenkins,sa3022894,MIN,LF,AAA,55,Med,2026
2025,25,Alfredo Duno,alfredo duno,sa3021066,CIN,C,A+,55,High,2028
2025,26,Noah Schultz,noah schultz,32056,CHW,SP,MLB,55,High,2026
2025,27,Jordan Lawlar,jordan lawlar,29976,ARI,SS,MLB,55,Med,2025
2025,28,Ethan Salas,ethan salas,sa3020881,SDP,C,AA,55,Med,2026
2025,28,Travis Sykora,travis sykora,sa3023557,WSN,SP,AA,55,Med,2026
2025,29,Jarlin Susana,jarlin susana,sa3018808,WSN,SP,AA,55,High,2027
2025,30,Angel Genao,angel genao,sa3015706,CLE,SS,AAA,50,High,2027
2025,31,Max Clark,max clark,sa3022683,DET,CF,AAA,50,Med,2027
2025,32,Jacob Wilson,jacob wilson,33266,ATH,SS,MLB,50,Med,2025
2025,33,Colt Emerson,colt emerson,33575,SEA,SS,MLB,50,Med,2027
2025,34,JJ Wetherholt,jj wetherholt,34985,STL,2B,MLB,50,Low,2026
2025,35,Kevin McGonigle,kevin mcgonigle,33572,DET,SS,MLB,50,Low,2026
2025,36,Cole Young,cole young,31680,SEA,2B,MLB,50,Low,2025
2025,37,Franklin Arias,franklin arias,sa3021845,BOS,SS,AA,50,Med,2028
2025,38,Leo De Vries,leo de vries,sa3023363,SDP,SS,AA,50,High,2027
2025,39,George Lombard Jr.,george lombard jr,sa3023233,NYY,SS,AAA,50,High,2027
2025,40,Travis Bazzana,travis bazzana,34967,CLE,2B,MLB,50,Low,2026
2025,41,Chase DeLauter,chase delauter,32127,CLE,RF,MLB,50,Med,2025
2025,42,Emmanuel Rodriguez,emmanuel rodriguez,sa3014693,MIN,CF,AAA,50,Med,2025
2025,43,Agustin Ramirez,agustin ramirez,26546,MIA,C,AAA,50,High,2025
2025,44,Adrian Del Castillo,adrian del castillo,29554,ARI,C,MLB,50,Med,2025
2025,45,Thayron Liranzo,thayron liranzo,sa3015790,DET,C,AA,50,High,2027
2025,46,Kevin Alcantara,kevin alcantara,25971,CHC,CF,MLB,50,High,2025
2025,47,Cam Smith,cam smith,35108,HOU,3B,MLB,50,Low,2025
2025,48,AJ Smith-Shawver,aj smithshawver,29960,ATL,SP,MLB,50,High,2025
2025,49,Quinn Mathews,quinn mathews,sa3023407,STL,SP,AAA,50,Low,2025
