rank_year,rank,player_name,player_name_norm,fangraphs_player_id,org,position,level,fv,risk,eta
2024,1,Jackson Holliday,jackson holliday,31781,BAL,2B,MLB,70,Med,2025
2024,2,Wyatt Langford,wyatt langford,33333,TEX,LF,MLB,65,Med,2024
2024,3,James Wood,james wood,29518,WSN,CF,MLB,65,High,2025
2024,4,Paul Skenes,paul skenes,33677,PIT,SP,MLB,65,Med,2024
2024,5,Jackson Chourio,jackson chourio,28806,MIL,CF,MLB,65,Med,2024
2024,6,Jackson Merrill,jackson merrill,29490,SDP,SS,MLB,60,Low,2024
2024,7,Jordan Lawlar,jordan lawlar,29976,ARI,SS,MLB,60,Med,2024
2024,8,Junior Caminero,junior caminero,28163,TBR,3B,MLB,60,High,2024
2024,9,Samuel Basallo,samuel basallo,28824,BAL,C,MLB,60,High,2027
2024,10,Dylan Crews,dylan crews,33541,WSN,CF,MLB,60,Med,2025
2024,11,Ethan Salas,ethan salas,sa3020881,SDP,C,AA,60,Med,2026
2024,12,Andrew Painter,andrew painter,30091,PHI,SP,MLB,60,High,2025
2024,13,Evan Carter,evan carter,27790,TEX,LF,MLB,55,Low,2024
2024,14,Colson Montgomery,colson montgomery,29712,CHW,3B,MLB,55,High,2025
2024,15,Spencer Jones,spencer jones,31532,NYY,CF,AAA,55,High,2026
2024,16,Carson Williams,carson williams,30038,TBR,SS,MLB,55,High,2026
2024,17,Jared Jones,jared jones,27863,PIT,SP,AAA,55,High,2024
2024,18,Jackson Jobe,jackson jobe,30203,DET,SP,MLB,55,Med,2025
2024,19,Rhett Lowder,rhett lowder,33876,CIN,SP,MLB,55,Low,2024
2024,20,Pete Crow-Armstrong,pete crowarmstrong,27769,CHC,CF,MLB,55,Med,2024
2024,21,Coby Mayo,coby mayo,28312,BAL,RF,MLB,55,High,2025
2024,22,Xavier Isaac,xavier isaac,sa3020498,TBR,1B,AA,55,High,2026
2024,23,Masyn Winn,masyn winn,27479,STL,SS,MLB,55,Med,2024
2024,24,Kyle Harrison,kyle harrison,27758,SFG,SP,MLB,55,High,2024
2024,25,AJ Smith-Shawver,aj smithshawver,29960,ATL,SP,MLB,55,High,2024
2024,26,Heston Kjerstad,heston kjerstad,31166,BAL,RF,AAA,55,Med,2024
2024,27,Roman Anthony,roman anthony,31812,BOS,RF,MLB,55,High,2026
2024,28,Chase DeLauter,chase delauter,32127,CLE,RF,MLB,55,Med,2024
2024,29,Josue De Paula,josue de paula,sa3018591,LAD,LF,AA,55,Med,2026
2024,30,Walker Jenkins,walker jenkins,sa3022894,MIN,LF,AAA,55,Med,2026
2024,31,Cade Horton,cade horton,31872,CHC,SP,MLB,55,High,2025
2024,32,Curtis Mead,curtis mead,23986,TBR,3B,MLB,55,Med,2024
2024,33,Matt Shaw,matt shaw,33322,CHC,3B,MLB,55,High,2025
2024,34,River Ryan,river ryan,29514,LAD,SP,AAA,55,Med,2025
2024,35,Ricky Tiedemann,ricky tiedemann,sa3018096,TOR,SP,AAA,55,High,2024
2024,36,Kevin Alcántara,kevin alcantara,25971,CHC,CF,MLB,50,High,2024
2024,37,Emmanuel Rodriguez,emmanuel rodriguez,sa3014693,MIN,CF,AAA,50,Med,2025
2024,38,Mason Miller,mason miller,31757,OAK,SIRP,MLB,50,High,2024
2024,39,Jacob Misiorowski,jacob misiorowski,31623,MIL,SP,MLB,50,High,2026
2024,40,Noah Schultz,noah schultz,32056,CHW,SP,MLB,50,High,2027
2024,41,Jeferson Quero,jeferson quero,28272,MIL,C,AAA,50,High,2024
2024,42,Joey Ortiz,joey ortiz,25493,MIL,2B,MLB,50,Low,2024
2024,43,Marcelo Mayer,marcelo mayer,29668,BOS,SS,MLB,50,High,2026
2024,44,Max Clark,max clark,sa3022683,DET,CF,AAA,50,Med,2027
2024,45,Termarr Johnson,termarr johnson,sa3020214,PIT,2B,AAA,50,High,2027
2024,46,Leodalis De Vries,leodalis de vries,sa3023363,SDP,SS,AA,50,High,2030
2024,47,Christian Scott,christian scott,30107,NYM,SP,MLB,50,Med,2024
2024,48,Jordan Wicks,jordan wicks,30094,CHC,SP,MLB,50,Low,2024
2024,49,Brooks Lee,brooks lee,31595,MIN,SS,MLB,50,Med,2024
2024,50,Colt Keith,colt keith,27899,DET,2B,MLB,50,Med,2024
