rank_year,rank,player_name,player_name_norm,fangraphs_player_id,org,position,level,fv,risk,eta
2022,1,Adley Rutschman,adley rutschman,26288,BAL,C,MLB,70,Med,2022
2022,2,Bobby Witt Jr.,bobby witt jr,25764,KCR,SS,MLB,65,Med,2022
2022,3,Julio Rodríguez,julio rodriguez,23697,SEA,CF,MLB,65,High,2022
2022,4,Spencer Torkelson,spencer torkelson,27465,DET,1B,MLB,60,Med,2022
2022,5,Riley Greene,riley greene,25976,DET,RF,MLB,60,Med,2022
2022,6,Francisco Alvarez,francisco alvarez,26121,NYM,C,MLB,60,High,2023
2022,7,Oneil Cruz,oneil cruz,21711,PIT,SS,MLB,60,High,2022
2022,8,Gabriel Moreno,gabriel moreno,22664,TOR,C,MLB,60,Med,2022
2022,9,Corbin Carroll,corbin carroll,25878,ARI,CF,MLB,60,Med,2023
2022,10,Shane Baz,shane baz,22264,TBR,SP,MLB,60,Med,2022
2022,11,Eury Pérez,eury perez,27768,MIA,SP,MLB,60,High,2025
2022,12,Daniel Espino,daniel espino,sa3011495,CLE,SP,AAA,60,Med,2023
2022,13,Grayson Rodriguez,grayson rodriguez,24492,BAL,SP,MLB,60,High,2023
2022,14,Anthony Volpe,anthony volpe,27647,NYY,SS,MLB,60,Low,2024
2022,15,Noelvi Marte,noelvi marte,26517,SEA,SS,AAA,60,High,2024
2022,16,CJ Abrams,cj abrams,25768,SDP,2B,MLB,60,High,2022
2022,17,Josh Jung,josh jung,26299,TEX,3B,MLB,60,Low,2023
2022,18,Jordan Walker,jordan walker,27475,STL,3B,MLB,60,High,2024
2022,19,Triston Casas,triston casas,22514,BOS,1B,MLB,55,Low,2023
2022,20,Marco Luciano,marco luciano,25616,SFG,SS,AAA,55,High,2024
2022,21,Marcelo Mayer,marcelo mayer,29668,BOS,SS,MLB,55,High,2025
2022,22,Gunnar Henderson,gunnar henderson,26289,BAL,3B,MLB,55,Med,2024
2022,23,Mick Abel,mick abel,27756,PHI,SP,MLB,55,High,2024
2022,24,MJ Melendez,mj melendez,22197,KCR,C,MLB,55,High,2022
2022,25,Henry Davis,henry davis,29617,PIT,C,MLB,55,Med,2024
2022,26,Jeremy Peña,jeremy pena,21636,HOU,SS,MLB,55,Low,2022
2022,27,Alek Thomas,alek thomas,23792,ARI,LF,CPX,55,Med,2022
2022,28,Cade Cavalli,cade cavalli,27473,WSN,SP,MLB,55,High,2023
2022,29,Jack Leiter,jack leiter,30146,TEX,SP,MLB,55,Med,2023
2022,30,DL Hall,dl hall,22207,BAL,SP,MLB,55,High,2022
2022,31,George Kirby,george kirby,25436,SEA,SP,MLB,55,Low,2022
2022,32,Luis Campusano,luis campusano,22217,SDP,C,MLB,55,High,2022
2022,33,Nick Yorke,nick yorke,27504,BOS,2B,AAA,55,Low,2025
2022,34,Hunter Greene,hunter greene,22182,CIN,SP,MLB,55,High,2022
2022,35,Brennen Davis,brennen davis,sa3007876,CHC,RF,AAA,55,Med,2024
2022,36,Bryson Stott,bryson stott,26294,PHI,SS,MLB,50,Low,2023
2022,37,Michael Harris II,michael harris ii,25931,ATL,CF,MLB,50,High,2022
2022,38,Luis Matos,luis matos,26467,SFG,CF,AAA,50,High,2024
2022,39,Diego Cartaya,diego cartaya,sa3008742,LAD,C,,50,High,2024
2022,40,Kyle Harrison,kyle harrison,27758,SFG,SP,MLB,50,High,2025
2022,41,Iván Herrera,ivan herrera,20599,STL,C,MLB,50,Med,2023
2022,42,Oswald Peraza,oswald peraza,22823,NYY,SS,MLB,50,Low,2022
2022,43,Colton Cowser,colton cowser,29591,BAL,CF,MLB,50,Low,2024
2022,44,Roansy Contreras,roansy contreras,22810,PIT,SP,,50,Low,2022
2022,45,Ken Waldichuk,ken waldichuk,27681,NYY,SP,MLB,50,Med,2023
2022,46,Ezequiel Tovar,ezequiel tovar,24064,COL,SS,MLB,50,Low,2023
2022,47,Reid Detmers,reid detmers,27468,LAA,SP,MLB,50,Low,2022
2022,48,Brayan Rocchio,brayan rocchio,23690,CLE,SS,MLB,50,Med,2023
2022,49,Pete Crow-Armstrong,pete crowarmstrong,27769,CHC,CF,MLB,50,Med,2025
2022,50,Brett Baty,brett baty,26123,NYM,3B,MLB,55,High,2023
