rank_year,rank,player_name,player_name_norm,fangraphs_player_id,org,position,level,fv,risk,eta
2017,1,Yoán Moncada,yoan moncada,17232,CHW,INF,MLB,70,,2017
2017,2,Andrew Benintendi,andrew benintendi,17901,BOS,OF,MLB,65,,2017
2017,3,Amed Rosario,amed rosario,15518,NYM,SS,MLB,65,,2017
2017,4,Dansby Swanson,dansby swanson,18314,ATL,SS,MLB,65,,2017
2017,5,Austin Meadows,austin meadows,15672,PIT,OF,,65,,2017
2017,6,Alex Reyes,alex reyes,15015,StL,RHP,,65,,2017
2017,7,Gleyber Torres,gleyber torres,16997,NYY,SS,MLB,60,,2018
2017,8,Victor Robles,victor robles,18363,WSN,CF,MLB,60,,2019
2017,9,J.P. Crawford,jp crawford,15491,PHI,SS,MLB,60,,2017
2017,10,Anderson Espinoza,anderson espinoza,18593,SDP,RHP,,60,,2019
2017,11,Ozzie Albies,ozzie albies,16556,ATL,2B,MLB,60,,2018
2017,12,Yadier Alvarez,yadier alvarez,sa868984,LAD,RHP,,60,,2019
2017,13,Cody Bellinger,cody bellinger,15998,LAD,1B,MLB,60,,2017
2017,14,Brendan Rodgers,brendan rodgers,17907,COL,SS,AAA,60,,2019
2017,15,Eloy Jiménez,eloy jimenez,17484,CHC,OF,,60,,2019
2017,16,Lewis Brinson,lewis brinson,14352,MIL,CF,AAA,60,,2017
2017,17,Willy Adames,willy adames,15986,TBR,SS,MLB,60,,2018
2017,18,Francis Martes,francis martes,17303,HOU,RHP,,60,,2018
2017,19,Lucas Giolito,lucas giolito,15474,CHW,RHP,MLB,60,,2017
2017,20,Corey Ray,corey ray,19170,MIL,OF,,60,,2018
2017,21,Michael Kopech,michael kopech,17282,CHW,RHP,,55,,2019
2017,22,Rafael Devers,rafael devers,17350,BOS,3B,MLB,55,,2019
2017,23,Manuel Margot,manuel margot,14712,SDP,CF,,55,,2017
2017,24,Vladimir Guerrero Jr.,vladimir guerrero jr,19611,TOR,3B,MLB,55,,2019
2017,25,Cal Quantrill,cal quantrill,19312,SDP,RHP,MLB,55,,2018
2017,26,Tyler Glasnow,tyler glasnow,14374,PIT,RHP,MLB,55,,2017
2017,27,Mickey Moniak,mickey moniak,19956,PHI,OF,MLB,55,,2019
2017,28,Reynaldo López,reynaldo lopez,16400,CHW,RHP,MLB,55,,2017
2017,29,Jay Groome,jay groome,sa917925,BOS,LHP,,55,,2020
2017,30,Nick Senzel,nick senzel,19293,CIN,3B,,55,,2018
2017,31,Riley Pint,riley pint,21858,COL,RHP,,55,,2020
2017,32,Jorge Alfaro,jorge alfaro,12180,PHI,C,AA,55,,2017
2017,33,Delvin Perez,delvin perez,sa917935,StL,SS,,55,,2021
2017,34,Clint Frazier,clint frazier,15983,NYY,OF,,55,,2017
2017,35,Ronald Acuña Jr.,ronald acuna jr,18401,ATL,CF,MLB,55,,2020
2017,36,Brent Honeywell,brent honeywell,16466,TBR,RHP,,55,,2018
2017,37,Francisco Mejía,francisco mejia,16403,CLE,C,AAA,55,,2019
2017,38,Kyle Lewis,kyle lewis,19508,SEA,OF,,55,,2019
2017,39,Robert Gsellman,robert gsellman,13696,NYM,RHP,AAA,55,,2017
2017,40,Blake Rutherford,blake rutherford,19957,NYY,OF,MLB,55,,2019
2017,41,Kolby Allard,kolby allard,18694,ATL,LHP,AAA,55,,2019
2017,42,Alex Verdugo,alex verdugo,17027,LAD,CF,,55,,2017
2017,43,James Kaprielian,james kaprielian,18331,NYY,RHP,AAA,55,,2018
2017,44,José De León,jose de leon,15463,TBR,RHP,,55,,2016
2017,45,Bradley Zimmer,bradley zimmer,16221,CLE,CF,,55,,2018
2017,46,Mitch Keller,mitch keller,17594,PIT,RHP,MLB,55,,2019
2017,47,Jeff Hoffman,jeff hoffman,17432,COL,RHP,MLB,55,,2016
2017,48,Kevin Maitan,kevin maitan,sa969045,ATL,3B,,55,,2021
2017,49,Leody Taveras,leody taveras,18900,TEX,CF,MLB,55,,2020
